Overall Rank*,City,Total Score,'Socioeconomic Diversity' Rank,'Cultural Diversity' Rank,'Economic Diversity' Rank,'Household Diversity' Rank,'Religious Diversity' Rank
31,"Fresno, CA",69.49,302,55,21,10,190
273,"Green River, WY",63.97,303,341,13,394,167
105,"Norfolk, VA",67.03,304,162,28,93,172
434,"Badger, AK",59.89,305,357,11,405,477
282,"Everett, WA",63.91,306,123,176,127,458
200,"Chattanooga, TN",65.03,307,253,155,190,151
425,"Laramie, WY",60.37,308,350,416,457,406
485,"Westbrook, ME",57.25,309,433,403,219,483
205,"Fort Wayne, IN",65,310,263,371,175,86
153,"Hampton, VA",66.15,311,203,26,39,197
410,"Jamestown, ND",60.71,312,492,144,387,65
324,"Aberdeen, SD",62.93,313,440,210,347,9
195,"Gresham, OR",65.11,314,139,102,40,410
307,"Port St. Lucie, FL",63.3,315,96,270,344,482
493,"Morgantown, WV",56.39,316,387,470,499,487
250,"Smyrna, DE",64.28,317,248,141,100,287
351,"Jonesboro, AR",62.37,318,340,320,52,328
303,"Cape Coral, FL",63.4,319,211,133,371,398
443,"Tanaina, AK",59.61,320,332,15,485,463
464,"Laredo, TX",58.75,321,490,58,213,384
498,"Rochester, NH",55.66,322,489,218,199,489
25,"Bridgeport, CT",69.88,323,16,241,15,162
316,"Davenport, IA",63.12,324,359,270,237,160
430,"Medford, OR",60.12,325,323,159,130,481
196,"Enid, OK",65.1,326,275,38,367,109
222,"Decatur, AL",64.74,327,226,193,191,224
128,"Baton Rouge, LA",66.52,328,285,111,194,6
103,"Grand Island, NE",67.07,329,190,202,164,30
474,"Auburn, ME",57.88,330,460,276,203,442
212,"Portsmouth, VA",64.93,331,271,6,14,265
416,"Eau Claire, WI",60.61,332,466,392,374,94
334,"Kenosha, WI",62.76,333,233,357,65,412
147,"Sioux City, IA",66.2,334,245,282,155,20
110,"Yakima, WA",66.88,335,111,50,86,288
348,"St. Cloud, MN",62.39,336,380,398,268,159
104,"Philadelphia, PA",67.03,337,99,397,270,152
306,"Dothan, AL",63.33,338,315,219,163,252
446,"Knik-Fairview, AK",59.53,339,378,5,396,463
84,"Pawtucket, RI",67.48,340,39,414,33,316
230,"Topeka, KS",64.62,341,284,90,241,150
133,"Paradise, NV",66.41,342,18,483,55,418
193,"Rock Hill, SC",65.2,343,216,173,68,207
350,"Carson City, NV",62.39,344,184,9,88,488
443,"Gillette, WY",59.61,345,411,122,366,425
251,"St. Louis, MO",64.27,346,232,379,404,158
454,"Spearfish, SD",59.08,347,479,147,384,303
82,"Columbus, GA",67.57,348,180,57,43,34
223,"Wilmington, DE",64.67,349,191,405,272,228
343,"Cicero, IL",62.59,350,403,316,139,97
73,"Elizabeth, NJ",68.06,351,94,203,5,147
459,"Lakes, AK",58.88,352,366,27,478,463
365,"Fremont, NE",62.06,353,390,274,307,195
404,"Spokane, WA",60.87,354,383,189,171,396
442,"Levittown, PA",59.61,355,467,224,341,263
360,"Yankton, SD",62.21,356,439,214,369,25
335,"Salina, KS",62.73,357,382,311,244,125
181,"Huron, SD",65.38,358,235,356,377,31
336,"Hastings, NE",62.7,359,422,146,381,29
249,"Green Bay, WI",64.28,360,274,305,221,132
433,"Janesville, WI",60.03,361,468,354,223,188
159,"Sumter, SC",65.97,362,241,44,100,73
178,"Clarksville, TN",65.49,363,170,18,279,292
85,"Roswell, NM",67.46,364,130,46,72,134
479,"Biddeford, ME",57.72,365,425,348,109,469
369,"Wahpeton, ND",61.97,366,451,277,434,12
387,"Mitchell, SD",61.28,367,488,236,323,16
296,"Athens, GA",63.6,368,166,295,425,379
397,"Cheektowaga, NY",61.05,369,441,250,224,153
270,"Jackson, TN",64,370,287,389,165,133
377,"Parma, OH",61.6,371,428,321,258,110
413,"Riverton, WY",60.64,372,371,20,143,439
431,"Coeur d'Alene, ID",60.05,373,463,98,200,274
482,"Rutland, VT",57.39,374,493,226,253,413
134,"Fayetteville, NC",66.4,375,120,66,161,277
247,"Ogden, UT",64.33,376,176,92,75,388
447,"Great Falls, MT",59.45,377,435,138,280,381
277,"Cincinnati, OH",63.95,378,258,413,423,99
119,"Rockford, IL",66.71,379,150,375,44,92
392,"Pocatello, ID",61.2,380,416,121,217,256
269,"Bowling Green, KY",64.03,381,223,254,237,273
436,"Lafayette, IN",59.79,382,342,443,188,445
60,"Clovis, NM",68.33,383,104,8,104,108
61,"New Britain, CT",68.31,384,34,340,53,218
268,"Shreveport, LA",64.05,385,346,256,66,72
233,"Mobile, AL",64.57,386,312,247,94,59
141,"North Charleston, SC",66.27,387,169,43,90,185
375,"Evanston, WY",61.76,388,363,115,375,293
175,"Lake Charles, LA",65.54,389,276,308,34,24
216,"Schenectady, NY",64.84,390,174,244,305,254
276,"Waterloo, IA",63.95,391,337,376,254,37
487,"Augusta, ME",56.92,392,483,68,271,454
445,"Oshkosh, WI",59.6,393,481,386,265,156
471,"Bloomington, IN",58.25,394,295,464,496,459
206,"New Bedford, MA",65,394,119,278,42,382
424,"Council Bluffs, IA",60.37,396,409,192,103,359
494,"Lewiston, ID",56.33,397,482,80,306,472
151,"Biloxi, MS",66.17,398,178,85,117,135
125,"Tucson, AZ",66.56,399,74,105,84,357
208,"North Little Rock, AR",64.97,400,278,168,131,74
166,"Midwest City, OK",65.75,401,269,16,51,68
370,"Westland, MI",61.95,402,367,394,105,247
225,"Macon, GA",64.65,403,316,200,96,39
486,"Bennington, VT",57.12,404,494,289,20,433
143,"Savannah, GA",66.27,405,225,171,111,27
145,"Memphis, TN",66.25,406,270,120,77,10
398,"North Platte, NE",61.05,407,459,285,343,40
355,"Greenville, NC",62.31,408,238,380,411,337
421,"Watertown, SD",60.54,409,498,198,358,13
419,"Wasilla, AK",60.57,410,311,29,59,463
427,"Wheeling, WV",60.3,411,486,238,330,60
44,"Kansas City, KS",68.88,412,60,81,29,115
132,"Roanoke, VA",66.45,413,237,217,97,7
127,"Lawton, OK",66.54,414,144,1,41,262
393,"St. Joseph, MO",61.13,415,421,296,91,198
367,"Warren, MI",62.06,416,292,373,61,362
302,"Twin Falls, ID",63.43,417,319,108,351,141
115,"Milwaukee, WI",66.78,418,110,333,230,120
501,"Bangor, ME",54.03,419,478,460,278,498
148,"Sunrise Manor, NV",66.2,420,31,436,7,418
176,"Alamogordo, NM",65.54,421,116,23,313,335
158,"Augusta, GA",65.98,422,254,79,67,23
87,"Lancaster, PA",67.41,423,62,427,107,174
327,"Independence, MO",62.84,424,391,145,154,93
461,"Beckley, WV",58.8,425,372,291,153,461
188,"Racine, WI",65.3,426,172,331,48,200
262,"Miami, FL",64.12,427,182,88,64,370
468,"Butte-Silver Bow, MT",58.34,428,487,75,282,334
451,"Havre, MT",59.21,429,442,97,208,380
339,"Fall River, MA",62.67,430,236,290,57,382
51,"Hammond, IN",68.52,431,83,323,12,35
295,"Norfolk, NE",63.64,432,386,161,292,18
126,"South Bend, IN",66.56,433,160,451,116,21
94,"Waterbury, CT",67.24,434,45,314,30,299
218,"Caldwell, ID",64.78,435,157,74,228,314
187,"Syracuse, NY",65.31,436,142,446,376,138
448,"Post Falls, ID",59.4,437,462,89,382,274
311,"Scranton, PA",63.22,438,297,292,135,201
266,"Alexandria, LA",64.06,439,318,259,8,98
184,"Passaic, NJ",65.34,440,168,346,99,169
326,"Nampa, ID",62.86,441,261,103,259,314
456,"Fairmont, WV",59,442,491,258,121,225
483,"Richmond, KY",57.38,443,449,328,409,431
237,"Horn Lake, MS",64.55,444,217,135,22,244
107,"Springfield, MA",66.95,445,52,326,25,304
495,"Kalispell, MT",56.11,446,485,257,360,450
390,"Covington, KY",61.21,447,406,196,114,214
323,"Knoxville, TN",62.94,448,331,213,288,145
399,"Owensboro, KY",61.04,449,452,262,149,80
162,"Fort Smith, AR",65.91,450,146,367,160,130
234,"South Valley, NM",64.56,451,255,3,27,239
490,"Sanford, ME",56.86,452,461,56,134,469
190,"Gulfport, MS",65.22,453,239,47,6,135
379,"Stillwater, OK",61.54,454,288,364,484,272
280,"Woonsocket, RI",63.91,455,173,342,146,316
69,"Allentown, PA",68.1,456,56,410,11,116
192,"Buffalo, NY",65.22,457,158,330,291,153
463,"Miles City, MT",58.76,458,495,77,355,203
496,"Barre, VT",56.1,459,497,181,214,434
455,"Weirton, WV",59.03,460,480,246,246,215
386,"Jackson, MS",61.28,461,458,49,70,87
310,"Lansing, MI",63.23,462,202,113,227,360
467,"Lewiston, ME",58.38,463,397,341,206,442
478,"Springfield, OR",57.75,464,365,184,23,494
91,"Hartford, CT",67.26,465,33,384,245,218
242,"Rochester, NY",64.46,466,114,463,393,241
428,"Martinsburg, WV",60.25,467,321,52,17,457
89,"Trenton, NJ",67.31,468,72,169,50,176
382,"Monroe, LA",61.46,469,396,353,192,127
47,"Newark, NJ",68.69,470,47,94,70,84
354,"Hattiesburg, MS",62.33,471,309,281,184,227
341,"Birmingham, AL",62.65,472,394,194,181,32
457,"Clarksburg, WV",58.97,473,499,45,92,139
121,"Paterson, NJ",66.64,474,82,395,19,169
441,"Springfield, MO",59.62,475,429,347,236,259
262,"Pueblo, CO",64.12,476,205,240,47,216
333,"Erie, PA",62.77,477,314,419,125,119
394,"Evansville, IN",61.09,478,420,382,144,88
340,"Hopkinsville, KY",62.66,479,299,204,74,226
135,"Harrisburg, PA",66.39,480,108,110,243,137
346,"Akron, OH",62.45,481,306,317,150,202
492,"Huntington, WV",56.58,482,450,467,295,428
473,"Anaconda, MT",57.89,483,471,70,452,294
358,"Toledo, OH",62.27,484,301,268,102,242
366,"Albany, GA",62.06,485,399,59,56,96
291,"Lorain, OH",63.76,486,179,206,26,295
357,"Meridian, MS",62.27,487,361,178,69,118
422,"Greenville, MS",60.51,488,465,86,24,66
489,"Hialeah, FL",56.88,489,500,72,3,370
488,"Parkersburg, WV",56.9,490,501,225,95,279
408,"Pine Bluff, AR",60.8,491,431,112,132,89
345,"Dayton, OH",62.51,492,268,275,259,128
284,"Central Falls, RI",63.86,493,88,486,2,316
297,"Cleveland, OH",63.55,494,198,248,297,110
219,"Reading, PA",64.76,495,98,448,13,196
415,"Canton, OH",60.64,496,369,303,62,178
241,"Camden, NJ",64.48,497,92,423,298,183
449,"Detroit, MI",59.35,498,393,272,256,247
405,"Gary, IN",60.84,499,407,236,32,35
462,"Flint, MI",58.78,500,345,363,120,325
356,"Youngstown, OH",62.29,501,219,265,128,107
